working on it
9978 10801 10306
10014 10801 10306
10067 10801 10306
10099 10801 10306
10120 10801 10306
10131 10801 10306
10207 10801 10306
10221 10801 10306
10250 10801 10306
10271 10801 10306
10295 10801 10306
10309 10801 11670
10322 10801 11670
10363 10801 11670
10377 10801 11670
10415 10801 11670
10471 10801 11670
10503 10801 11670
10520 10801 11670
10547 10801 11670
10564 10801 11670
10590 10801 11670
10603 10801 11670
10654 10801 11670
10720 10801 11670
10737 10801 11670
10770 10801 11670
10805 12444 11670
10849 12444 11670
10878 12444 11670
10891 12444 11670
10904 12444 11670
10930 12444 11670
10961 12444 11670
11011 12444 11670
11047 12444 11670
11061 12444 11670
11085 12444 11670
11108 12444 11670
11145 12444 11670
11188 12444 11670
11221 12444 11670
11235 12444 11670
11269 12444 11670
11304 12444 11670
11343 12444 11670
11357 12444 11670
11369 12444 11670
11387 12444 11670
11418 12444 11670
11462 12444 11670
11482 12444 11670
11505 12444 11670
11527 12444 11670
11550 12444 11670
11561 12444 11670
11597 12444 11670
11642 12444 11670
11658 12444 11670
11678 12444 11100
11697 12444 14031
11711 12444 14031
11752 12444 14031
11788 12444 14031
11809 12444 14031
11827 12444 14031
11841 12444 14031
11860 12444 14031
11892 12444 14031
11915 12444 14031
11929 12444 14031
11948 12444 14031
11975 12444 14031
12001 12444 14031
12043 12444 14031
12067 12444 14031
12084 12444 14031
12105 12444 14031
12177 12444 14031
12202 12444 14031
12229 12444 14031
12252 12444 14031
12285 12444 14031
12306 12444 14031
12323 12444 14031
12336 12444 14031
12369 12444 14031
12388 12444 14031
12453 13648 14031
12487 13648 14031
12500 13648 14031
12512 13648 14031
12526 13648 14031
12540 13648 14031
12569 13648 14031
12596 13648 14031
12640 13648 14031
12674 13648 14031
12686 13648 14031
12754 13648 14031
12770 13648 14031
12791 13648 14031
12823 13648 14031
12847 13648 14031
12888 13648 14031
12918 13648 14031
12930 13648 14031
12942 13648 14031
12955 13648 14031
12994 13648 14031
13015 13648 14031
13039 13648 14031
13082 13648 14031
13118 13648 14031
13143 13648 14031
13196 13648 14031
13207 13648 14031
13235 13648 14031
13249 13648 14031
13283 13648 14031
13317 13648 14031
13352 13648 14031
13368 13648 14031
13392 13648 14031
13409 13648 14031
13428 13648 14031
13467 13648 14031
13493 13648 14031
13518 13648 14031
13558 13648 14031
13587 13648 14031
13600 13648 14031
13613 13648 14031
13637 13648 14031
13704 12497 14031
13729 14163 14031
13752 14163 14031
13791 14163 14031
13804 14163 14031
13824 14163 14031
13855 14163 14031
13914 14163 14031
13942 14163 14031
13970 14163 14031
14011 14163 14031
14077 14163 13020
14104 14163 13581
14144 14163 14155
14159 14163 14986
14192 14531 14986
14229 14531 14986
14256 14531 14986
14268 14531 14986
14283 14531 14986
14354 14531 14986
14380 14531 14986
14411 14531 14986
14434 14531 14986
14462 14531 14986
14489 14531 14986
14518 14531 14986
14543 14950 14986
14576 14950 14986
14601 14950 14986
14618 14950 14986
14653 14950 14986
14695 14950 14986
14713 14950 14986
14725 14950 14986
14759 14950 14986
14786 14950 14986
14805 14950 14986
14842 14950 14986
14870 14950 14986
14896 14950 14986
14937 14950 14986
14961 15223 14986
14992 15223 14945
15008 15223 16525
15024 15223 16525
15035 15223 16525
15071 15223 16525
15107 15223 16525
15168 15223 16525
15240 15271 16525
15266 15271 16525
15291 15241 16525
15343 17898 16525
15365 17898 16525
15393 17898 16525
15412 17898 16525
15444 17898 16525
15477 17898 16525
15513 17898 16525
15556 17898 16525
15616 17898 16525
15643 17898 16525
15680 17898 16525
15719 17898 16525
15736 17898 16525
15750 17898 16525
15777 17898 16525
15814 17898 16525
15833 17898 16525
15866 17898 16525
15884 17898 16525
15915 17898 16525
15959 17898 16525
15975 17898 16525
15996 17898 16525
16040 17898 16525
16124 17898 16525
16145 17898 16525
16157 17898 16525
16187 17898 16525
16222 17898 16525
16290 17898 16525
16314 17898 16525
16330 17898 16525
16342 17898 16525
16362 17898 16525
16375 17898 16525
16414 17898 16525
16448 17898 16525
16476 17898 16525
16532 17898 16969
16552 17898 16969
16566 17898 16969
16595 17898 16969
16609 17898 16969
16652 17898 16969
16699 17898 16969
16731 17898 16969
16745 17898 16969
16794 17898 16969
16814 17898 16969
16827 17898 16969
16856 17898 16969
16888 17898 16969
16899 17898 16969
16924 17898 16969
16938 17898 16969
16953 17898 16969
16984 17898 16436
17021 17898 16909
17033 17898 17106
17053 17898 17106
17086 17898 17106
17112 17898 17765
17126 17898 17765
17150 17898 17765
17170 17898 17765
17182 17898 17765
17196 17898 17765
17239 17898 17765
17253 17898 17765
17269 17898 17765
17325 17898 17765
17343 17898 17765
17360 17898 17765
17372 17898 17765
17384 17898 17765
17400 17898 17765
17420 17898 17765
17441 17898 17765
17460 17898 17765
17486 17898 17765
17505 17898 17765
17534 17898 17765
17548 17898 17765
17573 17898 17765
17598 17898 17765
17624 17898 17765
17644 17898 17765
17677 17898 17765
17705 17898 17765
17756 17898 17765
17803 17898 17551
17815 17898 17510
17847 17898 18014
17888 17898 18014
17916 17949 18014
17939 17949 18014
17975 19199 18014
18000 19199 18014
18013 19199 18014
18040 19199 18019
18066 19199 17937
18090 19199 22049
18102 19199 22049
18167 19199 22049
18199 19199 22049
18235 19199 22049
18248 19199 22049
18276 19199 22049
18318 19199 22049
18346 19199 22049
18359 19199 22049
18386 19199 22049
18410 19199 22049
18435 19199 22049
18476 19199 22049
18501 19199 22049
18516 19199 22049
18554 19199 22049
18569 19199 22049
18589 19199 22049
18617 19199 22049
18631 19199 22049
18667 19199 22049
18699 19199 22049
18719 19199 22049
18731 19199 22049
18743 19199 22049
18762 19199 22049
18798 19199 22049
18811 19199 22049
18839 19199 22049
18853 19199 22049
18878 19199 22049
18897 19199 22049
18917 19199 22049
18955 19199 22049
19008 19199 22049
19047 19199 22049
19072 19199 22049
19086 19199 22049
19125 19199 22049
19173 19199 22049
19211 20229 22049
19259 20229 22049
19291 20229 22049
19316 20229 22049
19328 20229 22049
19349 20229 22049
19383 20229 22049
19396 20229 22049
19422 20229 22049
19437 20229 22049
19451 20229 22049
19477 20229 22049
19493 20229 22049
19532 20229 22049
19569 20229 22049
19584 20229 22049
19614 20229 22049
19645 20229 22049
19668 20229 22049
19702 20229 22049
19714 20229 22049
19739 20229 22049
19773 20229 22049
19803 20229 22049
19822 20229 22049
19842 20229 22049
19872 20229 22049
19888 20229 22049
19913 20229 22049
19943 20229 22049
19967 20229 22049
20003 20229 22049
20015 20229 22049
20037 20229 22049
20049 20229 22049
20085 20229 22049
20098 20229 22049
20137 20229 22049
20172 20229 22049
20205 20229 22049
20236 19821 22049
20257 21292 22049
20284 21292 22049
20310 21292 22049
20331 21292 22049
20366 21292 22049
20395 21292 22049
